"customer_id","active","case"
1,1,"ACTIVE"
2,1,"ACTIVE"
3,1,"ACTIVE"
4,1,"ACTIVE"
5,1,"ACTIVE"
6,1,"ACTIVE"
7,1,"ACTIVE"
8,1,"ACTIVE"
9,1,"ACTIVE"
10,1,"ACTIVE"
11,1,"ACTIVE"
12,1,"ACTIVE"
13,1,"ACTIVE"
14,1,"ACTIVE"
15,1,"ACTIVE"
16,0,"INACTIVE"
17,1,"ACTIVE"
18,1,"ACTIVE"
19,1,"ACTIVE"
20,1,"ACTIVE"
21,1,"ACTIVE"
22,1,"ACTIVE"
23,1,"ACTIVE"
24,1,"ACTIVE"
25,1,"ACTIVE"
26,1,"ACTIVE"
27,1,"ACTIVE"
28,1,"ACTIVE"
29,1,"ACTIVE"
30,1,"ACTIVE"
31,1,"ACTIVE"
32,1,"ACTIVE"
33,1,"ACTIVE"
34,1,"ACTIVE"
35,1,"ACTIVE"
36,1,"ACTIVE"
37,1,"ACTIVE"
38,1,"ACTIVE"
39,1,"ACTIVE"
40,1,"ACTIVE"
41,1,"ACTIVE"
42,1,"ACTIVE"
43,1,"ACTIVE"
44,1,"ACTIVE"
45,1,"ACTIVE"
46,1,"ACTIVE"
47,1,"ACTIVE"
48,1,"ACTIVE"
49,1,"ACTIVE"
50,1,"ACTIVE"
51,1,"ACTIVE"
52,1,"ACTIVE"
53,1,"ACTIVE"
54,1,"ACTIVE"
55,1,"ACTIVE"
56,1,"ACTIVE"
57,1,"ACTIVE"
58,1,"ACTIVE"
59,1,"ACTIVE"
60,1,"ACTIVE"
61,1,"ACTIVE"
62,1,"ACTIVE"
63,1,"ACTIVE"
64,0,"INACTIVE"
65,1,"ACTIVE"
66,1,"ACTIVE"
67,1,"ACTIVE"
68,1,"ACTIVE"
69,1,"ACTIVE"
70,1,"ACTIVE"
71,1,"ACTIVE"
72,1,"ACTIVE"
73,1,"ACTIVE"
74,1,"ACTIVE"
75,1,"ACTIVE"
76,1,"ACTIVE"
77,1,"ACTIVE"
78,1,"ACTIVE"
79,1,"ACTIVE"
80,1,"ACTIVE"
81,1,"ACTIVE"
82,1,"ACTIVE"
83,1,"ACTIVE"
84,1,"ACTIVE"
85,1,"ACTIVE"
86,1,"ACTIVE"
87,1,"ACTIVE"
88,1,"ACTIVE"
89,1,"ACTIVE"
90,1,"ACTIVE"
91,1,"ACTIVE"
92,1,"ACTIVE"
93,1,"ACTIVE"
94,1,"ACTIVE"
95,1,"ACTIVE"
96,1,"ACTIVE"
97,1,"ACTIVE"
98,1,"ACTIVE"
99,1,"ACTIVE"
100,1,"ACTIVE"
101,1,"ACTIVE"
102,1,"ACTIVE"
103,1,"ACTIVE"
104,1,"ACTIVE"
105,1,"ACTIVE"
106,1,"ACTIVE"
107,1,"ACTIVE"
108,1,"ACTIVE"
109,1,"ACTIVE"
110,1,"ACTIVE"
111,1,"ACTIVE"
112,1,"ACTIVE"
113,1,"ACTIVE"
114,1,"ACTIVE"
115,1,"ACTIVE"
116,1,"ACTIVE"
117,1,"ACTIVE"
118,1,"ACTIVE"
119,1,"ACTIVE"
120,1,"ACTIVE"
121,1,"ACTIVE"
122,1,"ACTIVE"
123,1,"ACTIVE"
124,0,"INACTIVE"
125,1,"ACTIVE"
126,1,"ACTIVE"
127,1,"ACTIVE"
128,1,"ACTIVE"
129,1,"ACTIVE"
130,1,"ACTIVE"
131,1,"ACTIVE"
132,1,"ACTIVE"
133,1,"ACTIVE"
134,1,"ACTIVE"
135,1,"ACTIVE"
136,1,"ACTIVE"
137,1,"ACTIVE"
138,1,"ACTIVE"
139,1,"ACTIVE"
140,1,"ACTIVE"
141,1,"ACTIVE"
142,1,"ACTIVE"
143,1,"ACTIVE"
144,1,"ACTIVE"
145,1,"ACTIVE"
146,1,"ACTIVE"
147,1,"ACTIVE"
148,1,"ACTIVE"
149,1,"ACTIVE"
150,1,"ACTIVE"
151,1,"ACTIVE"
152,1,"ACTIVE"
153,1,"ACTIVE"
154,1,"ACTIVE"
155,1,"ACTIVE"
156,1,"ACTIVE"
157,1,"ACTIVE"
158,1,"ACTIVE"
159,1,"ACTIVE"
160,1,"ACTIVE"
161,1,"ACTIVE"
162,1,"ACTIVE"
163,1,"ACTIVE"
164,1,"ACTIVE"
165,1,"ACTIVE"
166,1,"ACTIVE"
167,1,"ACTIVE"
168,1,"ACTIVE"
169,0,"INACTIVE"
170,1,"ACTIVE"
171,1,"ACTIVE"
172,1,"ACTIVE"
173,1,"ACTIVE"
174,1,"ACTIVE"
175,1,"ACTIVE"
176,1,"ACTIVE"
177,1,"ACTIVE"
178,1,"ACTIVE"
179,1,"ACTIVE"
180,1,"ACTIVE"
181,1,"ACTIVE"
182,1,"ACTIVE"
183,1,"ACTIVE"
184,1,"ACTIVE"
185,1,"ACTIVE"
186,1,"ACTIVE"
187,1,"ACTIVE"
188,1,"ACTIVE"
189,1,"ACTIVE"
190,1,"ACTIVE"
191,1,"ACTIVE"
192,1,"ACTIVE"
193,1,"ACTIVE"
194,1,"ACTIVE"
195,1,"ACTIVE"
196,1,"ACTIVE"
197,1,"ACTIVE"
198,1,"ACTIVE"
199,1,"ACTIVE"
200,1,"ACTIVE"
201,1,"ACTIVE"
202,1,"ACTIVE"
203,1,"ACTIVE"
204,1,"ACTIVE"
205,1,"ACTIVE"
206,1,"ACTIVE"
207,1,"ACTIVE"
208,1,"ACTIVE"
209,1,"ACTIVE"
210,1,"ACTIVE"
211,1,"ACTIVE"
212,1,"ACTIVE"
213,1,"ACTIVE"
214,1,"ACTIVE"
215,1,"ACTIVE"
216,1,"ACTIVE"
217,1,"ACTIVE"
218,1,"ACTIVE"
219,1,"ACTIVE"
220,1,"ACTIVE"
221,1,"ACTIVE"
222,1,"ACTIVE"
223,1,"ACTIVE"
224,1,"ACTIVE"
225,1,"ACTIVE"
226,1,"ACTIVE"
227,1,"ACTIVE"
228,1,"ACTIVE"
229,1,"ACTIVE"
230,1,"ACTIVE"
231,1,"ACTIVE"
232,1,"ACTIVE"
233,1,"ACTIVE"
234,1,"ACTIVE"
235,1,"ACTIVE"
236,1,"ACTIVE"
237,1,"ACTIVE"
238,1,"ACTIVE"
239,1,"ACTIVE"
240,1,"ACTIVE"
241,0,"INACTIVE"
242,1,"ACTIVE"
243,1,"ACTIVE"
244,1,"ACTIVE"
245,1,"ACTIVE"
246,1,"ACTIVE"
247,1,"ACTIVE"
248,1,"ACTIVE"
249,1,"ACTIVE"
250,1,"ACTIVE"
251,1,"ACTIVE"
252,1,"ACTIVE"
253,1,"ACTIVE"
254,1,"ACTIVE"
255,1,"ACTIVE"
256,1,"ACTIVE"
257,1,"ACTIVE"
258,1,"ACTIVE"
259,1,"ACTIVE"
260,1,"ACTIVE"
261,1,"ACTIVE"
262,1,"ACTIVE"
263,1,"ACTIVE"
264,1,"ACTIVE"
265,1,"ACTIVE"
266,1,"ACTIVE"
267,1,"ACTIVE"
268,1,"ACTIVE"
269,1,"ACTIVE"
270,1,"ACTIVE"
271,0,"INACTIVE"
272,1,"ACTIVE"
273,1,"ACTIVE"
274,1,"ACTIVE"
275,1,"ACTIVE"
276,1,"ACTIVE"
277,1,"ACTIVE"
278,1,"ACTIVE"
279,1,"ACTIVE"
280,1,"ACTIVE"
281,1,"ACTIVE"
282,1,"ACTIVE"
283,1,"ACTIVE"
284,1,"ACTIVE"
285,1,"ACTIVE"
286,1,"ACTIVE"
287,1,"ACTIVE"
288,1,"ACTIVE"
289,1,"ACTIVE"
290,1,"ACTIVE"
291,1,"ACTIVE"
292,1,"ACTIVE"
293,1,"ACTIVE"
294,1,"ACTIVE"
295,1,"ACTIVE"
296,1,"ACTIVE"
297,1,"ACTIVE"
298,1,"ACTIVE"
299,1,"ACTIVE"
300,1,"ACTIVE"
301,1,"ACTIVE"
302,1,"ACTIVE"
303,1,"ACTIVE"
304,1,"ACTIVE"
305,1,"ACTIVE"
306,1,"ACTIVE"
307,1,"ACTIVE"
308,1,"ACTIVE"
309,1,"ACTIVE"
310,1,"ACTIVE"
311,1,"ACTIVE"
312,1,"ACTIVE"
313,1,"ACTIVE"
314,1,"ACTIVE"
315,0,"INACTIVE"
316,1,"ACTIVE"
317,1,"ACTIVE"
318,1,"ACTIVE"
319,1,"ACTIVE"
320,1,"ACTIVE"
321,1,"ACTIVE"
322,1,"ACTIVE"
323,1,"ACTIVE"
324,1,"ACTIVE"
325,1,"ACTIVE"
326,1,"ACTIVE"
327,1,"ACTIVE"
328,1,"ACTIVE"
329,1,"ACTIVE"
330,1,"ACTIVE"
331,1,"ACTIVE"
332,1,"ACTIVE"
333,1,"ACTIVE"
334,1,"ACTIVE"
335,1,"ACTIVE"
336,1,"ACTIVE"
337,1,"ACTIVE"
338,1,"ACTIVE"
